,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,27.81778793334961,0.31316077913118534,0.020072555541992186,0.005282160785659653,logistic,"(100,)",0.1,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}",0.6748790444821342,0.6765622352664689,0.6815289779031192,0.6654383030819766,0.6690311640896993,0.6734879449646798,0.005669290249256328,24
1,0.0014409542083740235,0.00014774769914876923,0.0,0.0,logistic,"(100,)",0.1,nesterovs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'solver': 'nesterovs'}",,,,,,,,56
2,6.661392021179199,1.90249143774116,0.030061626434326173,0.012713071120528715,logistic,"(100,)",0.1,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.6638788519365173,0.6807036924691338,0.6504041712439949,0.6618006935676926,0.6598990528346642,0.6633372924104005,0.009831921360637489,44
3,29.230110692977906,1.9354601316753852,0.032377099990844725,0.011928027820828498,logistic,"(100,)",0.01,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'lbfgs'}",0.6748790444821342,0.6765622352664689,0.6815289779031192,0.6654383030819766,0.6690311640896993,0.6734879449646798,0.005669290249256328,24
4,0.003339338302612305,0.0036537818313994714,0.0,0.0,logistic,"(100,)",0.01,nesterovs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'nesterovs'}",,,,,,,,60
5,7.626028394699096,4.397307379214188,0.03336811065673828,0.011776117072561293,logistic,"(100,)",0.01,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.658293492777491,0.663193704329196,0.6766148403810524,0.6604722436286324,0.6643513584416862,0.6645851279116115,0.006375032229475657,42
6,33.845942735672,0.4702404714434285,0.03578934669494629,0.017635536844295797,logistic,"(100,)",0.001,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}",0.6748790444821342,0.6765622352664689,0.6815289779031192,0.6654383030819766,0.6690311640896993,0.6734879449646798,0.005669290249256328,24
7,0.005959367752075196,0.005910441865859061,0.0,0.0,logistic,"(100,)",0.001,nesterovs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'nesterovs'}",,,,,,,,58
8,6.905888605117798,1.3879027229935368,0.024176788330078126,0.004876485109804109,logistic,"(100,)",0.001,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.639727691337086,0.6598464477200807,0.6543095886143403,0.6532386987817476,0.6541876403941694,0.6522620133694847,0.0066856172706257445,51
9,75.48154954910278,2.4352067429140227,0.04993119239807129,0.013112898360971374,logistic,"(100, 100)",0.1,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}",0.6653137264541291,0.6801431405663316,0.676932179026819,0.6669819557625145,0.6702503046997546,0.6719242613019099,0.0057193863661578635,29
10,0.0018084526062011718,0.00028212417724356165,0.0,0.0,logistic,"(100, 100)",0.1,nesterovs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'solver': 'nesterovs'}",,,,,,,,64
11,10.77463321685791,2.964705899177288,0.05405802726745605,0.014313244454571458,logistic,"(100, 100)",0.1,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.6704289875377922,0.6756126104707406,0.666726103614313,0.6634601458186449,0.6575068864877273,0.6667469467858436,0.006137420077220003,41
12,72.66484861373901,0.8156851065305383,0.06430573463439941,0.012204602881379735,logistic,"(100, 100)",0.01,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01, 'solver': 'lbfgs'}",0.6653137264541291,0.6801431405663316,0.676932179026819,0.6669819557625145,0.6702503046997546,0.6719242613019099,0.0057193863661578635,29
13,0.0018311023712158203,0.00014810192142834274,0.0,0.0,logistic,"(100, 100)",0.01,nesterovs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01, 'solver': 'nesterovs'}",,,,,,,,77
14,13.144501447677612,9.21095743336513,0.06578011512756347,0.004816043271625724,logistic,"(100, 100)",0.01,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6793613630590992,0.6794486847354988,0.6686379920969355,0.6665433520798832,0.6545838867118114,0.6697150557366458,0.0092516682244333,35
15,72.88519768714905,1.3168219117900588,0.06122145652770996,0.01314558848774716,logistic,"(100, 100)",0.001,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}",0.6653137264541291,0.6801431405663316,0.676932179026819,0.6669819557625145,0.6702503046997546,0.6719242613019099,0.0057193863661578635,29
