,feature,importance
0,age,0.0
9,use_2,0.0
15,use_3,0.0
14,sex,0.0
13,education,0.0
12,marital_status,0.0
11,card_limit,0.0
10,use_1,0.0
8,use_4,0.0
1,pay_4,0.0
7,pay_5,0.0
6,use_5,0.0
5,use_6,0.0
4,pay_1,0.0
3,pay_2,0.0
2,pay_3,0.0
16,pay_6,0.0
