,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_gamma,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.31418628692627,0.30456166840396165,0.03171801567077637,0.012109170837349232,gbtree,0,0.1,4,0.8,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8}",0.7738961400748879,0.8063257308695011,0.7887822667475556,0.7879211141899906,0.7975205228265206,0.7908891549416912,0.010809937228575638,100
1,3.8699734687805174,0.08675827841422316,0.029192113876342775,0.009700784246091292,gbtree,0,0.1,4,0.9,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9}",0.7686298126162443,0.8001637590385151,0.7914494143752698,0.7727298501915646,0.7969838823394383,0.7859913437122065,0.012874577813735504,105
2,3.791045045852661,0.14416574002673282,0.03154234886169434,0.008556198739189794,gbtree,0,0.1,4,1.0,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0}",0.7695485010118887,0.7960940360830095,0.7885510091983801,0.7771169117928369,0.7940065694906732,0.7850634055153578,0.01017523853571063,107
3,6.940717983245849,0.9980244052708837,0.051023006439208984,0.012530719547293402,gbtree,0,0.1,6,0.8,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.8195555678457014,0.8329630479813299,0.815469797832396,0.818926363770516,0.8189191903458001,0.8211667935551485,0.006070826514496849,97
4,6.545793151855468,0.8433490518354971,0.054395294189453124,0.006310330203324572,gbtree,0,0.1,6,0.9,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.9}",0.8137535948676351,0.8338170271141792,0.8233373367875081,0.8221444987347445,0.8194893068148901,0.8225083528637913,0.006549292237960338,93
5,6.138969945907593,0.4883339662467029,0.0474247932434082,0.012487037450832251,gbtree,0,0.1,6,1.0,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 1.0}",0.8029044686969987,0.8341463214678057,0.822201886132472,0.8244943077166921,0.8238978886903103,0.8215289745408558,0.010207129140989743,96
6,8.743215131759644,0.31311256006301547,0.06847796440124512,0.01672316837900412,gbtree,0,0.1,8,0.8,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.8}",0.8370843882375112,0.8440511130422426,0.8373788032814661,0.8359044937065154,0.8352817721228418,0.8379401140781155,0.0031496722722441036,48
7,8.725595903396606,0.2461823981518679,0.06442847251892089,0.0159378532849885,gbtree,0,0.1,8,0.9,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.8385796893051152,0.8446690523427722,0.8356564981663359,0.8358710177245077,0.8338146359726071,0.8377181787022676,0.0037936004280199305,49
8,8.644811820983886,0.19613730969766371,0.054882240295410153,0.012605497699745723,gbtree,0,0.1,8,1.0,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 1.0}",0.8309172955124581,0.8361716183792707,0.8373788032814661,0.8385549033432258,0.839695136281406,0.8365435513595653,0.0030485655345990773,57
9,11.515485382080078,0.19679187193173944,0.06259641647338868,0.017320438935560015,gbtree,0,0.1,10,0.8,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.8}",0.8414576317708462,0.8504849918291276,0.8473361999704865,0.8446618789180562,0.8489795974137413,0.8465840599804515,0.0032092562899147274,4
10,11.716510438919068,0.277631010609119,0.06208052635192871,0.017091940081494193,gbtree,0,0.1,10,0.9,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.8432284369392621,0.8426054971661556,0.844688181475348,0.8423383724934005,0.8431684402105297,0.8432057856569392,0.000813898887312379,21
11,11.321673679351807,0.25697243543561155,0.07098875045776368,0.01976441036118927,gbtree,0,0.1,10,1.0,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 1.0}",0.8414627526649132,0.8405730268299748,0.8376531013789372,0.8446714434843442,0.8496214481299906,0.842796354497632,0.004080994834780267,24
12,3.816311168670654,0.07399559031403669,0.03991918563842774,0.008637120424722745,gbtree,0,0.3,4,0.8,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 4, 'subsample': 0.8}",0.8239492949553049,0.8364817836003213,0.8324287986358195,0.8277435275213563,0.8294514857870545,0.8300109780999714,0.004240649626836367,89
13,3.85856146812439,0.12348241525057667,0.030174446105957032,0.009284583383929344,gbtree,0,0.3,4,0.9,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 4, 'subsample': 0.9}",0.8335991077354177,0.8344684423967164,0.8210736089021518,0.8286046800789213,0.8394112736176469,0.8314314225461708,0.006210879941451213,83
14,3.7169620990753174,0.030462280200001808,0.031016159057617187,0.01072131600406476,gbtree,0,0.3,4,1.0,"{'booster': 'gbtree', 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 4, 'subsample': 1.0}",0.8330352972986259,0.8423288079271125,0.8289865795471314,0.8388722419889925,0.8329415277071821,0.8352328908938089,0.004747485297287229,67
