,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,11.559482955932618,1.3702737549324642,1.703244161605835,0.026140561752731245,0.001,linear,"{'C': 0.001, 'kernel': 'linear'}",0.5946392432547583,0.6124246448813174,0.6074937693682467,0.6007784190591746,0.6116328354293397,0.6053937823985673,0.006778354463957862,18
1,11.901681709289551,0.23587788424337908,2.1018820285797117,0.08989716666922139,0.001,poly,"{'C': 0.001, 'kernel': 'poly'}",0.5114641455480996,0.5102771264763591,0.509427929626654,0.5123454639361196,0.5111789284406477,0.5109387188055761,0.0010032840222065575,20
2,16.120946311950682,0.7059929525573243,10.6959969997406,1.5539919561353277,0.001,rbf,"{'C': 0.001, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,21
3,16.893717193603514,3.9715077028550185,2.213281679153442,0.841897366152186,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.6147203172496293,0.6245603715424093,0.6237637798072877,0.6175802877021539,0.6278741521695169,0.6216997816941994,0.004821806050444247,16
4,16.58813786506653,1.9488862694441123,3.325903844833374,1.6989373210638856,0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.5917024105072552,0.6083573130673837,0.6037413850585078,0.6047675263845393,0.6154426071368061,0.6048022484308985,0.0077277177523648825,19
5,19.166534185409546,2.4271658230944513,12.43274736404419,1.9211278454238154,0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",0.6032315914100075,0.6102022495859909,0.6122944984614712,0.606731336798439,0.6216339558499621,0.6108187264211742,0.006225728969466529,17
6,20.464564275741576,2.7607769774710493,3.492563533782959,1.1301970186334027,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.6185246294521053,0.6263520197631267,0.6275950717889018,0.6234607880109528,0.6334564429651248,0.6258777903960423,0.004909598762316463,14
7,21.3354651927948,6.345528239762615,2.4075735092163084,0.709806499472111,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.6230120689231374,0.6317334546666885,0.6244718993042462,0.6312087698874661,0.6352713194182558,0.6291395024399588,0.004646323189679781,10
8,19.398322010040282,2.848281086313681,10.08632493019104,2.348441724824801,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.6347271382805266,0.6457851689102406,0.6390746008843124,0.6407992971410145,0.6431754086802538,0.6407123227792696,0.0037500050947418995,9
9,17.025558137893675,1.3810100679555872,1.6284440517425538,0.06388718622562468,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.618532310793206,0.6269532210726525,0.6273040357004268,0.6228787158340029,0.6346349341684566,0.6260606435137489,0.005341565994542955,12
10,17.23590545654297,3.111566876827635,2.6259769916534426,1.2869900483674384,1.0,poly,"{'C': 1.0, 'kernel': 'poly'}",0.6509363042712353,0.66025328337897,0.6497998956095907,0.6500191974509064,0.6573811807593719,0.6536779722940149,0.004310251140520608,8
11,18.399984216690065,1.0998693907725174,9.612290906906129,0.7395124739527806,1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",0.6581065801440404,0.6706188820934922,0.6598194619794826,0.6556899604846775,0.6659527401116049,0.6620375249626596,0.005470508298795102,7
12,67.23277311325073,0.9387879367573684,3.1159650325775146,0.9586538397909264,10.0,linear,"{'C': 10.0, 'kernel': 'linear'}",0.6188257380232529,0.6269532210726525,0.62642853629343,0.6228787158340029,0.6343391157968377,0.6258850654040351,0.005133800268618914,13
13,36.3072331905365,4.5394239569883545,1.60312876701355,0.12615835602296568,10.0,poly,"{'C': 10.0, 'kernel': 'poly'}",0.6639239158043081,0.6758718785354736,0.6700439833412583,0.6627035203069406,0.6639322254832839,0.6672951046942529,0.004997477396536668,6
14,26.436255979537965,2.25285006575578,12.071712207794189,1.1662679625444774,10.0,rbf,"{'C': 10.0, 'kernel': 'rbf'}",0.6818127350490377,0.6850350746309444,0.677382055234004,0.6755784513054266,0.675936439357917,0.679148951115466,0.003685995567713874,3
15,287.58239221572876,14.534883820465778,1.9637474536895752,0.3009544528244743,100.0,linear,"{'C': 100.0, 'kernel': 'linear'}",0.6194100320363133,0.6272466483026994,0.6273088179835709,0.6231697519224778,0.6346325430268847,0.6263535586543891,0.005071506658736127,11
16,134.7770362377167,26.098065230959413,2.1336928844451903,0.7422431027132227,100.0,poly,"{'C': 100.0, 'kernel': 'poly'}",0.6657280067841604,0.6759436127826329,0.6776802647471949,0.6697696852437871,0.6665969819694262,0.6711437103054403,0.0048508996242459905,5
17,32.00810923576355,2.200889715164499,8.178327703475953,0.9209468686953789,100.0,rbf,"{'C': 100.0, 'kernel': 'rbf'}",0.6885308359757147,0.6984657752490886,0.6966741270283712,0.6908438406925839,0.6917504249400165,0.693253000777155,0.0037212296191825524,2
18,1706.128076505661,79.7278674003586,1.4577007293701172,0.06886579237716244,1000.0,linear,"{'C': 1000.0, 'kernel': 'linear'}",0.618532310793206,0.6266574027010335,0.6261279356386671,0.6237566063825717,0.6340504708499347,0.6258249452730826,0.005018059445034913,15
19,885.4549373626709,128.6214618710561,1.5370890617370605,0.36226721869776385,1000.0,poly,"{'C': 1000.0, 'kernel': 'poly'}",0.671545342444428,0.6809031819945672,0.678818106543803,0.6715254663409249,0.676804765340198,0.6759193725327842,0.003806927550614019,4
20,111.20291132926941,11.110438489081758,6.123814105987549,1.6220838800683912,1000.0,rbf,"{'C': 1000.0, 'kernel': 'rbf'}",0.699374841252284,0.7160044570878902,0.7150835259910258,0.69986835057688,0.7051643875671569,0.7070991124950473,0.00719371205828587,1
