iter	Logloss
0	0.6802786039
1	0.6681195289
2	0.6558432263
3	0.6450993084
4	0.6351081275
5	0.6249325827
6	0.6162707367
7	0.6072985462
8	0.5997140292
9	0.5924899589
10	0.5858754648
11	0.5795357301
12	0.5733496732
13	0.5679814784
14	0.5620680684
15	0.5566953229
16	0.551884602
17	0.5471050841
18	0.5423408812
19	0.5386454901
20	0.5347033067
21	0.5308755979
22	0.5269956181
23	0.5236851014
24	0.5202715485
25	0.5172336562
26	0.5146352799
27	0.5116388043
28	0.5089161442
29	0.5064144781
30	0.5038887103
31	0.5015537335
32	0.499727207
33	0.4979820308
34	0.4962472817
35	0.4943345734
36	0.4926901861
37	0.4909429536
38	0.4897450937
39	0.4884301974
40	0.4868415304
41	0.4857404032
42	0.4843925285
43	0.4831211388
44	0.4818016805
45	0.4808595346
46	0.4796306627
47	0.4785108721
48	0.4773599122
49	0.4764508007
50	0.4753737752
51	0.4744084938
52	0.4736436779
53	0.4728702663
54	0.4718923667
55	0.4711899568
56	0.4703652181
57	0.469555491
58	0.4689005429
59	0.4682214257
60	0.4676395579
61	0.4669046416
62	0.4661835458
63	0.465518339
64	0.4648642898
65	0.4643582216
66	0.4638460971
67	0.4632877355
68	0.4626746199
69	0.4621111009
70	0.4615276039
71	0.4609864787
72	0.4605241531
73	0.4599459821
74	0.4593674066
75	0.4589518461
76	0.4585428027
77	0.4579697779
78	0.4575836339
79	0.4570529247
80	0.4566729044
81	0.4563169859
82	0.4559169651
83	0.4555232816
84	0.4551180024
85	0.4546764413
86	0.4542659484
87	0.4538971869
88	0.453476042
89	0.4532490816
90	0.4529627714
91	0.4526411121
92	0.4523012838
93	0.4520005801
94	0.4518233174
95	0.4514609717
96	0.4511521779
97	0.4508969471
98	0.4504078119
99	0.4500859953
100	0.4497566616
101	0.4495411397
102	0.4493192243
103	0.4490627014
104	0.4486689504
105	0.4484473272
106	0.4480314634
107	0.4476944329
108	0.4473608745
109	0.4470695305
110	0.4468216482
111	0.4465719007
112	0.4462367354
113	0.4459717741
114	0.4458124669
115	0.445563079
116	0.4452293969
117	0.444975919
118	0.4447641162
119	0.4445755612
120	0.4442768013
121	0.4440449081
122	0.4438206668
123	0.4436394715
124	0.4433196662
125	0.4430785032
126	0.4428356772
127	0.442664954
128	0.4424165773
129	0.4421635376
130	0.4419753759
131	0.4417431119
132	0.4415664448
133	0.441346271
134	0.4411787952
135	0.4409168451
136	0.4407406275
137	0.4405627131
138	0.4403837988
139	0.440205817
140	0.4400947807
141	0.4399072481
142	0.4397684696
143	0.4396012409
144	0.439475103
145	0.4393451224
146	0.4391479605
147	0.4389637988
148	0.4387260516
149	0.4385224849
150	0.4383310647
151	0.4381309476
152	0.4379157065
153	0.4377309718
154	0.4375353716
155	0.4374167171
156	0.437219881
157	0.4370235842
158	0.4369226829
159	0.4367514429
160	0.4365874727
161	0.4363389163
162	0.4361493612
163	0.4359411203
164	0.4356805636
165	0.435443086
166	0.435272037
167	0.4350600882
168	0.4349165005
169	0.4347599574
170	0.4346301566
171	0.4344265338
172	0.4342783505
173	0.4340930877
174	0.4339601632
175	0.4337971368
176	0.4336202113
177	0.4334788372
178	0.4333063162
179	0.4331036148
180	0.4328169563
181	0.4326005804
182	0.432390081
183	0.4322607184
184	0.4321229061
185	0.4319270251
186	0.4317233573
187	0.4316418835
188	0.431452452
189	0.4312664026
190	0.4310992975
191	0.430966227
192	0.4309389567
193	0.4308266956
194	0.43069876
195	0.4305810381
196	0.4304249557
197	0.4302540528
198	0.4301011053
199	0.4299775518
200	0.4297201188
201	0.4295124509
202	0.4293999314
203	0.429269535
204	0.4291318576
205	0.4290092142
206	0.4288449632
207	0.4287209377
208	0.4285345063
209	0.4284401558
210	0.4282727136
211	0.4281235078
212	0.4280594164
213	0.4279397844
214	0.4277240264
215	0.4275441458
216	0.4273913107
217	0.4272987804
218	0.4272039017
219	0.4272015758
220	0.4270759212
221	0.4269154792
222	0.4267539697
223	0.4265906063
224	0.4264282541
225	0.4262590254
226	0.4261249098
227	0.4260346043
228	0.4257896772
229	0.4256624382
230	0.4254817597
231	0.425314767
232	0.4252453159
233	0.4250733568
234	0.4249528371
235	0.4248569809
236	0.4246929433
237	0.4245101075
238	0.4243922283
239	0.4242098532
240	0.4241099631
241	0.4240274219
242	0.4238938681
243	0.423797113
244	0.4236048276
245	0.4235193649
246	0.4234330257
247	0.4232551451
248	0.4231094226
249	0.4229862061
250	0.4228440118
251	0.4227666054
252	0.4226266808
253	0.4224811717
254	0.4223515169
255	0.4222055247
256	0.4220979603
257	0.4219902612
258	0.421878854
259	0.421785054
260	0.4217214683
261	0.4215994766
262	0.4214452145
263	0.421311908
264	0.4211487805
265	0.4209995635
266	0.4208226042
267	0.4206768367
