iter	Passed	Remaining
167	24124	119471
168	24221	119100
169	24321	118744
170	24415	118367
171	24521	118044
172	24599	117594
173	24681	117165
174	24778	116812
175	24871	116445
176	24954	116032
177	25044	115653
178	25125	115241
179	25210	114847
180	25307	114511
181	25404	114181
182	25493	113815
183	25577	113429
184	25660	113043
185	25751	112697
186	25839	112338
187	25922	111961
188	25996	111549
189	26073	111156
190	26159	110801
191	26231	110388
192	26306	109996
193	26381	109605
194	26581	109733
195	26677	109431
196	26760	109080
197	26857	108785
198	26945	108458
199	27026	108104
200	27114	107782
201	27201	107459
202	27280	107104
203	27352	106727
204	27429	106372
205	27511	106039
206	27603	105746
207	27685	105417
208	27763	105077
209	27841	104738
210	27916	104389
211	27994	104055
212	28077	103741
213	28157	103418
214	28229	103068
215	28300	102721
216	28384	102419
217	28460	102090
218	28541	101784
219	28622	101479
220	28699	101163
221	28777	100850
222	28854	100539
223	28934	100238
224	29007	99915
225	29084	99607
226	29164	99314
227	29240	99005
228	29312	98690
229	29414	98476
230	29653	98716
231	29733	98427
232	29825	98180
233	29912	97919
234	29985	97612
235	30087	97401
236	30175	97145
237	30265	96900
238	30368	96695
239	30481	96525
240	30688	96650
241	30790	96442
242	30889	96226
243	30976	95977
244	31057	95709
245	31136	95435
246	31214	95159
247	31562	95705
248	32065	96710
249	32500	97500
250	32731	97672
251	32960	97834
252	33434	98717
253	33841	99391
254	34085	99583
255	34339	99799
256	34528	99822
257	34722	99860
258	35096	100410
259	35310	100499
260	35499	100514
261	35712	100595
262	36147	101295
263	36471	101678
264	36681	101737
265	36867	101730
266	36949	101437
267	37020	101116
268	37093	100800
269	37166	100487
270	37259	100229
271	37388	100068
272	37597	100122
273	37734	99982
274	37814	99693
275	37896	99408
276	37974	99117
277	38072	98879
278	38162	98620
279	38249	98356
280	38333	98084
281	38406	97785
282	38510	97569
283	38795	97808
284	39085	98056
285	39366	98278
286	39734	98713
287	40035	98975
288	40119	98702
289	40207	98439
290	40290	98165
291	40372	97889
292	40443	97588
293	40514	97290
294	40589	97003
295	40806	97052
296	41190	97498
297	41270	97221
298	41344	96931
299	41422	96652
300	41515	96409
301	41607	96165
302	41690	95901
303	41770	95632
304	41847	95357
305	41925	95085
306	42019	94851
307	42114	94620
308	42207	94387
309	42309	94171
310	42412	93963
311	42511	93744
312	42609	93523
313	42698	93283
314	42784	93038
315	42862	92777
316	42952	92545
317	43043	92312
318	43136	92087
319	43230	91864
320	43319	91632
321	43416	91417
322	43505	91186
323	43587	90941
324	43659	90677
325	43733	90417
326	43947	90447
327	44260	90679
328	44394	90543
329	44484	90316
330	44581	90104
331	44677	89892
332	44771	89678
333	44849	89430
334	44927	89184
335	44998	88926
336	45184	88894
337	45677	89462
338	45823	89348
339	45899	89099
340	45977	88853
341	46049	88597
342	46121	88342
343	46194	88091
344	46264	87836
345	46336	87584
346	46407	87330
347	46482	87088
348	46556	86843
349	46798	86910
350	47236	87339
351	47443	87339
352	47712	87450
353	48039	87664
354	48733	88544
355	48998	88637
356	49204	88623
357	49438	88658
358	49729	88792
359	50048	88974
360	50270	88983
361	50468	88946
362	50767	89087
363	50981	89077
364	51232	89130
365	51505	89219
366	51796	89337
367	52071	89427
368	52172	89215
369	52246	88960
370	52317	88700
371	52388	88441
372	52464	88191
373	52671	88161
374	52899	88166
375	52983	87930
376	53061	87685
377	53137	87437
378	53218	87198
379	53290	86948
380	53364	86699
381	53439	86455
382	53515	86212
383	53595	85975
384	53667	85728
385	53736	85477
386	53878	85342
387	54045	85247
388	54136	85032
389	54222	84809
390	54298	84572
391	54373	84334
392	54445	84092
393	54516	83850
394	54814	83957
395	54908	83749
396	54990	83525
397	55071	83299
398	55337	83352
399	55429	83144
400	55522	82937
401	55600	82708
402	55675	82477
403	55750	82245
404	55821	82008
405	55891	81772
406	56006	81601
407	56081	81372
408	56157	81147
409	56233	80921
410	56306	80692
411	56379	80463
412	56451	80235
413	56526	80011
414	56602	79788
415	56673	79561
416	56743	79332
417	56815	79106
418	56888	78883
419	56959	78658
420	57049	78460
421	57128	78247
422	57206	78033
423	57282	77818
424	57364	77610
425	57437	77392
426	57510	77174
427	57588	76963
428	57672	76762
429	57746	76548
430	57817	76330
431	57915	76147
432	58113	76097
433	58190	75888
434	58270	75685
435	58351	75482
436	58439	75289
437	58530	75101
438	58607	74894
439	58684	74689
440	58760	74483
441	58832	74273
442	58907	74066
443	58991	73871
444	59064	73664
445	59143	73465
446	59221	73264
447	59297	73062
448	59370	72857
449	59440	72649
450	59511	72443
451	59584	72240
452	59666	72047
453	59742	71849
454	59821	71654
455	59894	71452
456	59964	71249
457	60035	71045
458	60109	70847
459	60185	70652
460	60257	70452
461	60349	70276
462	60435	70095
463	60509	69898
464	60594	69715
465	60669	69522
466	60751	69337
467	60830	69149
468	60906	68958
469	60986	68771
470	61063	68583
471	61269	68539
472	61376	68384
473	61456	68198
474	61546	68025
475	61644	67860
476	61750	67705
477	61846	67539
478	62219	67674
479	62345	67541
480	62476	67411
481	62604	67280
482	62982	67415
483	63190	67368
484	63286	67200
485	63379	67030
486	63466	66854
487	63638	66768
488	63902	66777
489	63977	66588
490	64049	66397
491	64118	66203
492	64190	66013
493	64266	65827
494	64335	65635
495	64478	65518
496	64564	65343
497	64644	65164
498	64740	65000
499	64834	64834
500	64907	64648
501	64980	64463
502	65053	64277
503	65128	64094
504	65202	63911
505	65280	63731
506	65500	63691
507	65582	63517
508	65671	63349
509	65755	63177
510	65832	62998
511	65905	62816
512	65978	62634
513	66059	62461
514	66241	62383
515	66356	62241
516	66440	62070
517	66518	61895
518	66597	61721
519	66682	61553
520	66762	61380
521	66837	61203
522	66916	61030
523	66997	60860
524	67085	60696
525	67179	60538
526	67274	60380
527	67372	60227
528	67467	60070
529	67557	59909
530	67635	59738
531	67712	59566
532	67790	59396
533	67862	59220
534	68052	59148
535	68179	59020
536	68254	58848
537	68335	58682
538	68415	58515
539	68491	58344
540	68565	58173
541	68643	58005
542	68870	57963
543	69021	57855
544	69118	57704
545	69197	57537
546	69271	57367
547	69366	57215
548	69541	57128
549	69660	56995
550	69740	56830
551	69819	56664
552	69893	56496
553	69965	56326
554	70060	56175
555	70160	56027
556	70449	56030
557	70700	56002
558	70912	55943
559	71173	55922
560	71494	55947
561	71669	55856
562	71824	55750
563	71964	55631
564	72095	55506
565	72233	55387
566	72370	55267
567	72540	55171
568	72689	55060
569	72847	54954
570	72991	54839
571	73110	54704
572	73186	54538
573	73268	54376
574	73343	54210
575	73456	54072
576	73631	53979
577	73803	53884
578	73878	53718
579	73951	53550
580	74026	53385
581	74097	53217
582	74169	53051
583	74247	52888
584	74352	52745
585	74438	52589
586	74525	52434
587	74604	52274
588	74681	52112
589	74763	51954
590	74835	51789
591	75151	51793
592	75566	51864
593	75670	51720
594	75799	51594
595	76107	51589
596	76401	51574
597	76616	51504
598	76834	51436
599	77103	51402
600	77662	51559
601	78039	51594
602	78344	51580
603	78595	51529
604	78954	51548
605	79177	51478
606	79372	51389
607	79595	51318
608	79822	51248
609	80043	51175
610	80275	51108
611	80580	51087
612	80870	51055
613	81158	51021
614	81476	51005
615	81719	50941
616	81863	50816
617	81951	50656
618	82032	50491
619	82108	50324
620	82180	50155
621	82437	50098
622	82661	50021
623	82802	49894
624	82887	49732
625	82967	49568
626	83041	49401
627	83116	49234
628	83290	49127
629	83365	48960
630	83440	48794
631	83519	48631
632	83595	48467
633	83668	48300
634	83739	48133
635	83839	47983
636	83990	47862
637	84086	47710
638	84169	47551
639	84246	47388
640	84320	47224
641	84393	47060
642	84626	46985
643	85294	47150
644	85764	47203
645	86102	47182
646	86354	47114
647	86452	46961
648	86536	46801
649	86631	46647
650	86770	46517
651	86972	46420
652	87127	46298
653	87217	46142
654	87300	45982
655	87371	45816
656	87483	45672
657	87691	45578
658	87784	45424
659	87855	45259
660	87931	45096
661	88009	44935
662	88092	44776
663	88174	44618
664	88284	44474
665	88380	44322
666	88460	44163
667	88544	44007
668	88630	43851
669	88706	43691
670	88784	43532
671	88892	43388
672	89223	43352
673	89344	43214
674	89469	43078
675	89637	42962
676	90120	42997
677	90292	42882
678	91013	43027
679	91599	43105
680	91718	42963
681	91816	42811
682	91909	42657
683	92004	42504
684	92091	42348
685	92195	42200
686	92343	42072
687	92444	41922
688	92621	41807
689	92902	41738
690	92978	41577
691	93058	41419
692	93135	41259
693	93213	41099
694	93290	40940
695	93375	40784
696	93456	40627
697	93537	40470
698	93615	40312
699	93692	40153
700	93771	39996
701	93856	39842
702	94054	39735
703	94311	39653
704	94398	39500
705	94489	39348
706	94580	39196
707	94673	39046
708	94777	38900
709	94866	38748
710	94956	38596
711	95050	38447
712	95143	38297
713	95522	38262
714	95817	38192
715	96273	38186
716	96476	38079
717	97002	38098
718	97533	38118
719	97861	38057
720	98030	37934
721	98310	37853
722	98537	37752
723	98784	37658
724	98971	37540
725	99277	37468
726	99544	37380
727	99747	37268
728	99820	37107
729	99894	36947
730	99969	36787
731	100041	36627
732	100116	36468
733	100189	36308
734	100262	36148
735	100336	35990
736	100409	35831
737	100528	35688
738	100658	35550
739	100738	35394
740	100818	35238
741	100893	35081
742	100967	34923
743	101046	34768
744	101327	34682
745	101573	34583
746	101890	34509
747	101987	34359
748	102084	34209
749	102172	34057
750	102253	33902
751	102324	33745
752	102413	33593
753	102487	33437
754	102559	33280
755	102631	33124
756	102747	32982
757	102859	32839
758	102978	32697
759	103091	32555
760	103164	32399
761	103235	32244
762	103308	32089
763	103391	31937
764	103469	31784
765	103560	31635
766	103635	31482
767	103717	31331
768	103804	31181
769	103882	31029
770	103963	30878
771	104037	30726
772	104246	30613
773	104480	30507
774	104624	30374
775	104728	30230
776	104965	30125
777	105114	29994
778	105220	29850
779	105351	29714
780	105511	29586
781	105645	29450
782	105761	29310
783	105925	29183
784	106127	29066
785	106276	28935
786	106418	28802
787	106615	28683
788	106811	28564
789	107035	28452
790	107156	28313
791	107233	28162
792	107310	28011
793	107386	27860
794	107465	27711
795	107614	27579
796	107810	27459
797	107890	27310
798	107978	27163
799	108057	27014
800	108138	26865
801	108213	26716
802	108297	26568
803	108370	26418
804	108446	26269
805	108535	26124
806	108616	25976
807	108698	25829
808	108778	25681
809	108853	25533
810	108933	25386
811	109008	25238
812	109081	25090
813	109156	24942
814	109233	24795
815	109310	24648
816	109386	24501
817	109460	24354
818	109535	24207
819	109612	24061
820	109690	23915
821	109769	23770
822	109850	23625
823	109923	23478
824	109998	23332
825	110078	23188
826	110166	23045
827	110252	22902
828	110334	22758
829	110416	22615
830	110661	22505
831	110799	22372
832	110897	22232
833	111000	22093
834	111101	21954
835	111193	21813
836	111296	21674
837	111567	21567
838	111763	21446
839	111988	21331
840	112354	21241
841	112794	21165
842	113255	21092
843	113474	20974
844	113574	20833
845	113663	20690
846	113755	20548
847	113835	20404
848	113914	20260
849	113992	20116
850	114071	19972
851	114155	19829
852	114241	19687
853	114323	19544
854	114407	19402
855	114491	19260
856	114622	19126
857	114939	19022
858	115180	18906
859	115486	18800
860	115673	18674
861	116000	18570
862	116145	18437
863	116223	18294
864	116300	18150
865	116381	18008
866	116457	17864
867	116528	17720
868	116609	17578
869	116682	17435
870	116753	17291
871	116826	17148
872	116900	17006
873	116980	16864
874	117143	16734
875	117264	16599
876	117407	16466
877	117610	16342
878	117732	16206
879	117802	16063
880	117872	15921
881	117942	15779
882	118012	15636
883	118122	15500
884	118350	15378
885	118583	15257
886	118809	15135
887	118917	14998
888	118989	14856
889	119060	14715
890	119133	14574
891	119201	14432
892	119272	14291
893	119343	14150
894	119440	14012
895	119638	13886
896	119718	13746
897	119789	13606
898	119859	13465
899	119925	13325
900	119997	13185
901	120070	13045
902	120165	12908
903	120238	12768
904	120308	12629
905	120378	12489
906	120446	12350
907	120515	12210
908	120588	12072
909	120658	11933
910	120731	11794
911	120804	11656
912	120880	11518
913	120971	11382
914	121043	11244
915	121119	11107
916	121190	10969
917	121262	10831
918	121334	10694
919	121414	10557
920	121556	10426
921	121826	10306
922	122027	10179
923	122249	10055
924	122333	9918
925	122413	9782
926	122488	9645
927	122564	9509
928	122645	9373
929	122752	9239
930	122861	9105
931	122953	8970
932	123041	8835
933	123120	8700
934	123194	8564
935	123260	8428
936	123326	8291
937	123533	8165
938	123663	8033
939	123755	7899
940	123898	7768
941	124237	7649
942	124457	7522
943	124730	7399
944	125014	7276
945	125172	7145
946	125249	7009
947	125323	6874
948	125395	6738
949	125471	6603
950	125567	6469
951	125653	6335
952	125741	6201
953	125838	6067
954	125978	5936
955	126197	5808
956	126438	5681
957	126557	5548
958	126709	5417
959	126923	5288
960	127143	5159
961	127335	5029
962	127406	4895
963	127475	4760
964	127543	4625
965	127611	4491
966	127685	4357
967	127815	4225
968	128100	4098
969	128370	3970
970	128592	3840
971	128822	3710
972	129030	3580
973	129236	3449
974	129438	3318
975	129629	3187
976	129830	3056
977	130030	2925
978	130227	2793
979	130456	2662
980	130980	2536
981	131322	2407
982	131476	2273
983	131622	2140
984	131735	2006
985	131826	1871
986	131924	1737
987	132029	1603
988	132130	1469
989	132243	1335
990	132542	1203
991	132934	1072
992	133256	939
993	133473	805
994	133584	671
995	133715	537
996	133832	402
997	133939	268
998	134077	134
999	134178	0
