epoch,learning rate,mean accuracy
86,0.01,0.6372093023255814
87,0.01,0.8546080964685616
88,0.01,0.8523686477174849
89,0.01,0.8080964685615848
90,0.01,0.8540913006029285
91,0.01,0.8478897502153316
92,0.01,0.8453057708871662
93,0.01,0.8520241171403962
94,0.01,0.8484065460809647
95,0.01,0.8537467700258398
96,0.01,0.8518518518518519
97,0.01,0.8329026701119724
98,0.01,0.8063738156761413
99,0.01,0.8520241171403962
100,0.01,0.8542635658914729
1,0.001,0.36382428940568473
2,0.001,0.4449612403100775
3,0.001,0.6391042204995694
4,0.001,0.5243755383290267
5,0.001,0.6444444444444445
6,0.001,0.7755383290267012
7,0.001,0.4470284237726098
8,0.001,0.7693367786391042
9,0.001,0.7936261843238588
10,0.001,0.7934539190353144
11,0.001,0.6079242032730405
12,0.001,0.8308354866494402
13,0.001,0.6797588285960379
14,0.001,0.8401378122308355
15,0.001,0.8316968130921619
16,0.001,0.8292850990525409
17,0.001,0.8223944875107666
18,0.001,0.8378983634797589
19,0.001,0.8373815676141257
20,0.001,0.650473729543497
21,0.001,0.8435831180017227
22,0.001,0.8408268733850129
23,0.001,0.8146425495262705
24,0.001,0.8373815676141257
25,0.001,0.8373815676141257
26,0.001,0.7126614987080103
27,0.001,0.8440999138673557
28,0.001,0.7667527993109389
29,0.001,0.7407407407407407
30,0.001,0.8420327304048234
31,0.001,0.8422049956933678
32,0.001,0.8316968130921619
33,0.001,0.5738156761412575
34,0.001,0.8332472006890611
35,0.001,0.8454780361757106
36,0.001,0.846167097329888
37,0.001,0.8530577088716623
38,0.001,0.674074074074074
39,0.001,0.8523686477174849
40,0.001,0.7829457364341085
41,0.001,0.8454780361757106
42,0.001,0.8428940568475453
43,0.001,0.8435831180017227
44,0.001,0.7800172265288544
45,0.001,0.8442721791559001
46,0.001,0.6370370370370371
47,0.001,0.850473729543497
48,0.001,0.8254952627045651
49,0.001,0.8440999138673557
50,0.001,0.8434108527131783
51,0.001,0.8515073212747631
52,0.001,0.7801894918173988
53,0.001,0.8382428940568476
54,0.001,0.8485788113695091
55,0.001,0.8473729543496985
56,0.001,0.8463393626184323
57,0.001,0.8439276485788114
58,0.001,0.8399655469422911
59,0.001,0.8490956072351421
60,0.001,0.843755383290267
61,0.001,0.8428940568475453
62,0.001,0.8094745908699397
63,0.001,0.8485788113695091
64,0.001,0.8472006890611542
65,0.001,0.5300602928509905
66,0.001,0.7870801033591731
67,0.001,0.8444444444444444
68,0.001,0.8459948320413436
69,0.001,0.8118863049095607
70,0.001,0.85099052540913
71,0.001,0.8411714039621017
72,0.001,0.8470284237726098
73,0.001,0.8473729543496985
74,0.001,0.7433247200689062
75,0.001,0.8118863049095607
76,0.001,0.8427217915590008
77,0.001,0.8468561584840655
78,0.001,0.8301464254952627
79,0.001,0.7919035314384152
80,0.001,0.8487510766580534
81,0.001,0.6658053402239449
82,0.001,0.749526270456503
83,0.001,0.8351421188630491
84,0.001,0.7400516795865633
85,0.001,0.8466838931955211
86,0.001,0.8439276485788114
87,0.001,0.841343669250646
88,0.001,0.8344530577088717
89,0.001,0.6761412575366064
90,0.001,0.8149870801033592
91,0.001,0.768303186907838
92,0.001,0.6797588285960379
93,0.001,0.8125753660637381
94,0.001,0.8418604651162791
95,0.001,0.8439276485788114
96,0.001,0.8425495262704565
97,0.001,0.8430663221360896
98,0.001,0.8204995693367786
99,0.001,0.8430663221360896
100,0.001,0.8435831180017227
