C,accuracy,support vectors,elapsed time
0.001,0.648578811369509,44405,137.76188683509827
0.01,0.827390180878553,27687,45.482433795928955
0.1,0.8546080964685616,14537,18.907540798187256
1.0,0.8554694229112834,11887,13.862913608551025
10.0,0.8566752799310939,11414,12.991287231445312
100.0,0.8568475452196382,11366,13.058167219161987
1000.0,0.8568475452196382,11365,15.134784698486328
