learning algorithm,epoch,mean accuracy
lbfgs,1,0.09665805340223946
lbfgs,2,0.11371231696813093
lbfgs,3,0.13993109388458225
lbfgs,4,0.14811369509043926
lbfgs,5,0.17939707149009476
lbfgs,6,0.1641860465116279
lbfgs,7,0.2623255813953489
lbfgs,8,0.19183462532299742
lbfgs,9,0.24275624461670972
lbfgs,10,0.30830318690783803
lbfgs,11,0.2999655469422911
lbfgs,12,0.3972265288544359
lbfgs,13,0.32944013781223086
lbfgs,14,0.3585012919896641
lbfgs,15,0.4151248923341947
lbfgs,16,0.43791559000861324
lbfgs,17,0.3823255813953489
lbfgs,18,0.4522480620155038
lbfgs,19,0.39781223083548667
lbfgs,20,0.4107493540051679
lbfgs,21,0.5554005167958658
lbfgs,22,0.4327131782945736
lbfgs,23,0.3586046511627907
lbfgs,24,0.4323686477174849
lbfgs,25,0.49531438415159346
lbfgs,26,0.5006029285099052
lbfgs,27,0.4745219638242894
lbfgs,28,0.5561584840654609
lbfgs,29,0.4914556416881999
lbfgs,30,0.5330232558139535
lbfgs,31,0.6560723514211887
lbfgs,32,0.6530749354005168
lbfgs,33,0.5896985357450474
lbfgs,34,0.5593109388458225
lbfgs,35,0.48173987941429797
lbfgs,36,0.5477002583979328
lbfgs,37,0.5961757105943152
lbfgs,38,0.6313006029285098
lbfgs,39,0.5857019810508183
lbfgs,40,0.642015503875969
lbfgs,41,0.5286649440137812
lbfgs,42,0.569681309216193
lbfgs,43,0.6032902670111974
lbfgs,44,0.5801378122308354
lbfgs,45,0.6870801033591731
lbfgs,46,0.5971403962101637
lbfgs,47,0.5220327304048233
lbfgs,48,0.6083376399655469
lbfgs,49,0.5531438415159344
lbfgs,50,0.6411714039621016
lbfgs,51,0.49782945736434103
lbfgs,52,0.5976399655469423
lbfgs,53,0.6663738156761413
lbfgs,54,0.6058742463393626
lbfgs,55,0.6121963824289406
lbfgs,56,0.6287166236003445
lbfgs,57,0.5909560723514212
lbfgs,58,0.674074074074074
lbfgs,59,0.6719379844961241
lbfgs,60,0.7333850129198966
lbfgs,61,0.6263738156761413
lbfgs,62,0.6774504737295435
lbfgs,63,0.7541946597760552
lbfgs,64,0.5991214470284238
lbfgs,65,0.5784323858742464
lbfgs,66,0.6393109388458226
lbfgs,67,0.6420155038759691
lbfgs,68,0.658570198105082
lbfgs,69,0.568733850129199
lbfgs,70,0.6218087855297157
lbfgs,71,0.633006029285099
lbfgs,72,0.6236692506459949
lbfgs,73,0.57770887166236
lbfgs,74,0.6157450473729543
lbfgs,75,0.6309905254091301
lbfgs,76,0.6789664082687338
lbfgs,77,0.7549181739879414
lbfgs,78,0.671972437553833
lbfgs,79,0.5412058570198105
lbfgs,80,0.560947459086994
lbfgs,81,0.6633936261843237
lbfgs,82,0.5980017226528854
lbfgs,83,0.773557278208441
lbfgs,84,0.6576571920757966
lbfgs,85,0.6821188630490955
lbfgs,86,0.6989491817398794
lbfgs,87,0.692489233419466
lbfgs,88,0.7150215331610681
lbfgs,89,0.6301808785529717
lbfgs,90,0.7076141257536607
lbfgs,91,0.7194659776055126
lbfgs,92,0.6554005167958656
lbfgs,93,0.5949181739879414
lbfgs,94,0.5944702842377261
lbfgs,95,0.6132127476313523
lbfgs,96,0.6733505598621877
lbfgs,97,0.638621877691645
lbfgs,98,0.6891472868217053
lbfgs,99,0.6388285960378983
lbfgs,100,0.7077174849267873
nesterovs,1,0.6567614125753661
nesterovs,2,0.7247372954349698
nesterovs,3,0.6827906976744186
nesterovs,4,0.7520068906115418
nesterovs,5,0.7263049095607235
nesterovs,6,0.7589836347975882
nesterovs,7,0.7919896640826873
nesterovs,8,0.7189836347975883
nesterovs,9,0.7311800172265289
nesterovs,10,0.7698018949181739
nesterovs,11,0.7691472868217054
nesterovs,12,0.7279758828596038
nesterovs,13,0.7563652024117139
nesterovs,14,0.7670111972437554
nesterovs,15,0.84260120585702
nesterovs,16,0.8064082687338501
nesterovs,17,0.7947286821705426
nesterovs,18,0.8155383290267011
nesterovs,19,0.720551248923342
nesterovs,20,0.7669767441860466
nesterovs,21,0.829681309216193
nesterovs,22,0.7858570198105082
nesterovs,23,0.7362273901808785
nesterovs,24,0.7588802756244616
nesterovs,25,0.7637726098191214
nesterovs,26,0.7463049095607236
nesterovs,27,0.7899741602067183
nesterovs,28,0.8186735572782085
nesterovs,29,0.7452540913006029
nesterovs,30,0.7214298018949181
nesterovs,31,0.8235314384151592
nesterovs,32,0.7838587424633935
nesterovs,33,0.8338329026701119
nesterovs,34,0.8006718346253229
nesterovs,35,0.7941602067183463
nesterovs,36,0.7714556416881998
nesterovs,37,0.7832902670111972
nesterovs,38,0.7051679586563309
nesterovs,39,0.8067872523686478
nesterovs,40,0.7243410852713179
nesterovs,41,0.6934366925064599
nesterovs,42,0.8077519379844961
nesterovs,43,0.8129198966408269
nesterovs,44,0.793316106804479
nesterovs,45,0.8270111972437554
nesterovs,46,0.7807751937984497
nesterovs,47,0.8102497846683894
nesterovs,48,0.7471317829457365
nesterovs,49,0.8176744186046512
nesterovs,50,0.7732299741602067
nesterovs,51,0.7451679586563308
nesterovs,52,0.8127304048234282
nesterovs,53,0.8033419465977605
nesterovs,54,0.803479758828596
nesterovs,55,0.8064771748492678
nesterovs,56,0.7866838931955211
nesterovs,57,0.729646856158484
nesterovs,58,0.7731610680447889
nesterovs,59,0.7283031869078381
nesterovs,60,0.7969681309216192
nesterovs,61,0.7813953488372094
nesterovs,62,0.7283548664944013
nesterovs,63,0.8120585701981051
nesterovs,64,0.804702842377261
