epoch,learning rate,mean accuracy
1,0.1,0.7891472868217054
2,0.1,0.8265288544358311
3,0.1,0.8093023255813954
4,0.1,0.8516795865633074
5,0.1,0.8440999138673557
6,0.1,0.7844961240310078
7,0.1,0.74900947459087
8,0.1,0.06666666666666667
9,0.1,0.5486649440137812
10,0.1,0.6559862187769164
11,0.1,0.8521963824289406
12,0.1,0.768303186907838
13,0.1,0.5808785529715762
14,0.1,0.8449612403100775
15,0.1,0.8430663221360896
16,0.1,0.827390180878553
17,0.1,0.7960378983634797
18,0.1,0.8489233419465978
19,0.1,0.8468561584840655
20,0.1,0.7212747631352282
21,0.1,0.7302325581395349
22,0.1,0.823083548664944
23,0.1,0.8389319552110249
24,0.1,0.8485788113695091
25,0.1,0.5886304909560723
26,0.1,0.8547803617571059
27,0.1,0.8466838931955211
28,0.1,0.8547803617571059
29,0.1,0.8430663221360896
30,0.1,0.8521963824289406
31,0.1,0.8520241171403962
32,0.1,0.8318690783807063
33,0.1,0.8384151593453919
34,0.1,0.7433247200689062
35,0.1,0.7789836347975883
36,0.1,0.6957795004306632
37,0.1,0.8079242032730405
38,0.1,0.8477174849267872
39,0.1,0.8490956072351421
40,0.1,0.8484065460809647
41,0.1,0.8485788113695091
42,0.1,0.7751937984496124
43,0.1,0.8125753660637381
44,0.1,0.8403100775193798
45,0.1,0.8106804478897502
46,0.1,0.843755383290267
47,0.1,0.8525409130060293
48,0.1,0.6725236864771749
49,0.1,0.8451335055986219
50,0.1,0.8501291989664083
51,0.1,0.8516795865633074
52,0.1,0.8377260981912145
53,0.1,0.7095607235142118
54,0.1,0.588458225667528
55,0.1,0.8449612403100775
56,0.1,0.8372093023255814
57,0.1,0.846167097329888
58,0.1,0.8544358311800172
59,0.1,0.8480620155038759
60,0.1,0.8415159345391904
61,0.1,0.853402239448751
62,0.1,0.8428940568475453
63,0.1,0.7906976744186046
64,0.1,0.8525409130060293
65,0.1,0.8456503014642549
66,0.1,0.7343669250645994
