activation function,epoch,mean accuracy
logistic,1,0.07409130060292851
logistic,2,0.13011197243755382
logistic,3,0.15991386735572782
logistic,4,0.24459948320413433
logistic,5,0.34399655469422913
logistic,6,0.35757105943152456
logistic,7,0.3974849267872524
logistic,8,0.46794142980189496
logistic,9,0.5044444444444445
logistic,10,0.5731438415159344
logistic,11,0.5587424633936262
logistic,12,0.5339362618432386
logistic,13,0.6027217915590007
logistic,14,0.6211714039621017
logistic,15,0.6344530577088717
logistic,16,0.6714728682170542
logistic,17,0.6745219638242894
logistic,18,0.6884926787252369
logistic,19,0.6833247200689061
logistic,20,0.7070973298880275
logistic,21,0.7044099913867357
logistic,22,0.6624289405684756
logistic,23,0.7238070628768304
logistic,24,0.7410335917312662
logistic,25,0.7182773471145564
logistic,26,0.7245133505598623
logistic,27,0.7420155038759689
logistic,28,0.7390525409130061
logistic,29,0.7471145564168818
logistic,30,0.7275624461670973
logistic,31,0.7315762273901809
logistic,32,0.7511627906976744
logistic,33,0.7591559000861327
logistic,34,0.7499397071490094
logistic,35,0.7487166236003445
logistic,36,0.768303186907838
logistic,37,0.7683893195521103
logistic,38,0.767665805340224
logistic,39,0.7743496985357452
logistic,40,0.7699913867355727
logistic,41,0.7711627906976745
logistic,42,0.7808785529715763
logistic,43,0.7698708010335917
logistic,44,0.7875968992248064
logistic,45,0.7769509043927649
logistic,46,0.7865288544358312
logistic,47,0.795383290267011
logistic,48,0.7926614987080104
logistic,49,0.7939018087855296
logistic,50,0.7937295434969853
logistic,51,0.7917312661498709
logistic,52,0.7952282515073213
logistic,53,0.8064599483204135
logistic,54,0.8059603789836347
logistic,55,0.7944530577088716
logistic,56,0.7901636520241171
logistic,57,0.7962962962962964
logistic,58,0.79770887166236
logistic,59,0.8122652885443582
logistic,60,0.7750387596899225
logistic,61,0.8058914728682172
logistic,62,0.8137295434969853
logistic,63,0.8075279931093885
logistic,64,0.8139534883720929
logistic,65,0.7992937123169682
logistic,66,0.7822049956933679
logistic,67,0.8134883720930232
logistic,68,0.8145047372954349
logistic,69,0.7775538329026701
logistic,70,0.7986907838070628
logistic,71,0.803600344530577
logistic,72,0.811541774332472
logistic,73,0.8090439276485787
logistic,74,0.809801894918174
logistic,75,0.8007062876830319
