kernel function,train accuracy,test accuracy,elapsed time
linear,0.8352888888888889,0.8320413436692506,33.08023190498352
poly3,0.8562,0.8556416881998278,30.16744828224182
poly5,0.8545555555555555,0.8532299741602067,29.796894550323486
poly7,0.8545555555555555,0.8532299741602067,29.857176780700684
poly9,0.8545555555555555,0.8532299741602067,35.590028047561646
rbf,0.8561111111111112,0.8554694229112834,79.81992936134338
sigmoid,0.3737333333333333,0.37502153316106807,179.72829294204712
