hidden layers,hidden neurons,mean accuracy,mean elapsed time
1,2,0.583376 ,4.785018 
1,4,0.799466 ,4.021304 
1,8,0.824755 ,3.844587 
1,16,0.846184 ,6.362101 
1,32,0.849991 ,5.288035 
1,64,0.852696 ,6.252682 
1,128,0.854953 ,16.595630 
1,256,0.854866 ,16.393895 
2,2,0.370577 ,3.917331 
2,4,0.782584 ,5.217564 
2,8,0.849165 ,5.624469 
2,16,0.853178 ,6.240878 
2,32,0.854109 ,6.550033 
2,64,0.855108 ,12.959204 
2,128,0.854488 ,22.698306 
2,256,0.854556 ,29.337255 
3,2,0.221171 ,3.549420 
3,4,0.743187 ,7.893709 
3,8,0.848665 ,6.287707 
3,16,0.852661 ,6.280867 
3,32,0.854574 ,7.186044 
3,64,0.855263 ,17.225896 
3,128,0.853953 ,30.877897 
3,256,0.855521 ,52.548916 
