epoch,loss
1,2.34894735
2,1.64935906
3,1.23110186
4,1.00116851
5,0.87313317
6,0.79702508
7,0.74730498
8,0.71174424
9,0.68128202
10,0.64874054
11,0.62159903
12,0.59866567
13,0.57932218
14,0.56294015
15,0.54925591
16,0.53837238
17,0.52928064
18,0.52119061
19,0.51443363
20,0.50934525
21,0.50347009
22,0.49897675
23,0.49484675
24,0.49041945
25,0.48691044
26,0.48380898
27,0.48128147
28,0.47839894
29,0.47571777
30,0.47349662
31,0.47051585
32,0.46924295
33,0.46630675
34,0.46467168
35,0.46215015
36,0.46084484
37,0.45797388
38,0.45643961
39,0.4546754
40,0.45296944
41,0.45038222
42,0.44909315
43,0.44799026
44,0.4458404
45,0.44449873
46,0.44334017
47,0.44225413
48,0.44105303
49,0.44082935
50,0.43950191
51,0.43859568
52,0.4377258
53,0.43668148
54,0.43673491
55,0.43511977
56,0.43440328
57,0.43441383
58,0.43344161
59,0.43243394
60,0.43232246
61,0.43182679
62,0.43099668
63,0.43068886
64,0.42938518
65,0.42906509
66,0.42867789
67,0.42835855
68,0.4276429
69,0.42733498
70,0.42590424
71,0.42589145
72,0.42513182
73,0.42520616
74,0.42451066
75,0.42414436
76,0.42371357
77,0.4227912
78,0.42320137
79,0.42257468
80,0.42241831
81,0.42134828
82,0.4207908
83,0.42044312
84,0.42007646
85,0.41938838
86,0.41917892
87,0.41885674
88,0.41846805
89,0.41899003
90,0.41807373
91,0.41709424
92,0.41692908
93,0.41719329
94,0.41616959
95,0.4158425
96,0.4148137
97,0.41464316
98,0.41501353
99,0.41416401
100,0.41410683
101,0.41347762
102,0.41330132
103,0.4133903
104,0.41330312
105,0.41296489
106,0.41196108
107,0.41154977
108,0.41216289
109,0.41175558
110,0.41075475
111,0.41135299
112,0.41088753
113,0.41022822
114,0.410079
115,0.40964594
116,0.40909513
117,0.40938202
118,0.40933213
119,0.40892152
120,0.4090059
121,0.40846699
122,0.40866789
123,0.40850829
124,0.40723062
125,0.40750859
126,0.407181
127,0.40739173
128,0.40736708
129,0.40693997
130,0.40710414
131,0.40615335
132,0.40593497
133,0.40545926
134,0.40691674
135,0.4057724
136,0.40577555
137,0.40561986
138,0.40466804
139,0.40518488
140,0.40457489
141,0.40478842
142,0.40414631
143,0.40495005
144,0.4049654
145,0.40375049
146,0.40368384
147,0.40339374
148,0.40372902
149,0.40336836
150,0.40268438
151,0.40316459
152,0.40313798
153,0.40328191
154,0.4027612
155,0.40251987
156,0.40291803
157,0.40207381
158,0.40205522
159,0.40220295
160,0.40152673
161,0.40241173
162,0.40191489
163,0.40095752
164,0.40136401
165,0.40026189
166,0.40035291
167,0.40109424
168,0.40115381
169,0.40045493
170,0.40054707
171,0.40022817
172,0.40030738
173,0.39994196
174,0.39923032
175,0.39989782
176,0.39940276
177,0.39969641
178,0.39919163
179,0.39976052
180,0.39883633
181,0.3989109
182,0.39930221
183,0.39870387
184,0.39861377
185,0.3984916
186,0.39812189
187,0.39861567
188,0.39797653
189,0.39843523
190,0.39812061
191,0.39744819
192,0.39857506
193,0.39782821
194,0.39856657
195,0.39724673
196,0.39747441
197,0.39780439
198,0.39785234
199,0.39761822
200,0.39719613
201,0.39782581
202,0.39744931
203,0.3980565
204,0.39729805
205,0.39739903
206,0.3969369
207,0.39655008
208,0.39691674
209,0.397055
210,0.3964208
211,0.39669431
212,0.39649776
213,0.39619142
214,0.3969014
215,0.395702
216,0.39637901
217,0.3964513
218,0.39662175
219,0.39607658
220,0.39505039
221,0.39623792
222,0.39576155
223,0.3956181
224,0.39538886
225,0.39490292
226,0.39570065
227,0.39490712
228,0.39536836
229,0.39507627
230,0.3951173
231,0.39497692
232,0.39521137
233,0.39453372
234,0.39523673
235,0.39529104
236,0.39491402
237,0.39527356
238,0.39477694
239,0.39436932
240,0.39439485
241,0.39462183
242,0.39497541
243,0.39445856
244,0.39426881
245,0.39443449
246,0.39468542
247,0.39441966
248,0.39399231
249,0.39381295
250,0.39369055
251,0.3940913
252,0.39431311
253,0.39400651
254,0.39452194
255,0.39386135
256,0.39402806
257,0.3936937
258,0.3941248
259,0.39357268
260,0.39367733
261,0.39383387
262,0.3933884
263,0.39345609
264,0.39297467
265,0.39305659
266,0.3927564
267,0.39363202
268,0.39359207
269,0.3929066
270,0.3932964
271,0.39321463
272,0.39295525
273,0.39333616
274,0.39289466
275,0.39277263
276,0.39310721
277,0.39338186
